ExpertID   TeamID    QuestionIDwithBestAnswer    Score 
3018 0 0 264.0
3019 0 0 49.0
3020 159 11 7.0
3021 26 821 81.0
3022 27 1 6.0
3023 29 9 77.0
3024 454 180 8.0
3025 28 2 88.0
3026 159 11 15.0
3027 30 3 41.0
3028 30 3 5.0
3031 1 211 11.0
3029 265 58 39.0
3032 36 24 15.0
3033 37 5 4.0
3034 48 64 102.0
3038 62 878 27.0
3039 4 6 5.0
3043 82 7 4.0
3044 87 107 40.0
3045 366 105 12.0
3046 159 11 44.0
3048 117 92 11.0
3049 172 130 22.0
3050 29 9 105.0
3051 29 9 57.0
3052 29 9 9.0
3053 29 9 4.0
3054 109 96 116.0
3055 60 10 4.0
3056 60 10 23.0
3057 159 11 107.0
3040 159 11 22.0
3058 159 11 15.0
3059 161 14 14.0
3060 161 14 6.0
3061 161 14 10.0
3062 161 14 11.0
3063 61 15 22.0
3064 61 15 12.0
3065 61 15 26.0
3066 163 16 14.0
3067 163 16 12.0
3068 163 16 10.0
3070 164 17 22.0
3071 164 17 5.0
3072 203 325 127.0
3073 614 363 78.0
3078 253 242 6.0
3080 254 19 14.0
3081 254 19 24.0
3082 255 666 9.0
3083 257 20 8.0
3084 258 814 17.0
3085 10 68 14.0
3086 262 21 5.0
3087 33 22 11.0
3088 264 70 27.0
3089 36 24 6.0
3090 267 23 8.0
3095 44 25 9.0
3096 1 211 18.0
3097 276 26 15.0
3098 280 30 17.0
3099 277 28 8.0
3100 277 28 7.0
3101 278 880 8.0
3102 280 30 12.0
3103 280 30 5.0
3104 280 30 5.0
3105 283 804 18.0
3106 282 31 8.0
3107 287 32 5.0
3108 287 32 8.0
3114 103 33 10.0
3117 14 34 4.0
3118 315 842 23.0
3119 304 357 30.0
3120 308 302 10.0
3121 269 37 13.0
3115 268 38 18.0
3122 310 606 8.0
3123 396 99 14.0
3124 434 154 6.0
3125 45 40 9.0
3126 16 41 24.0
3127 16 41 8.0
3128 311 42 12.0
3129 311 42 10.0
3130 311 42 5.0
3131 316 300 61.0
3132 329 47 12.0
3133 104 46 16.0
3134 104 46 7.0
3135 104 46 10.0
3136 319 285 14.0
3137 104 46 5.0
3138 104 46 50.0
3139 104 46 15.0
3140 104 46 5.0
3141 104 46 11.0
3142 339 876 48.0
3143 104 46 6.0
3144 104 46 5.0
3145 838 757 18.0
3146 359 453 44.0
3147 85 50 6.0
3148 85 50 4.0
3149 285 72 9.0
3150 361 53 6.0
3151 361 53 8.0
3152 362 54 27.0
3091 274 55 15.0
3156 18 76 18.0
3157 364 56 7.0
3158 365 57 12.0
3047 116 86 8.0
3159 365 57 5.0
3160 265 58 10.0
3161 472 203 16.0
3162 367 830 29.0
3113 13 62 6.0
3163 107 63 6.0
3164 48 64 12.0
3165 374 311 36.0
3166 48 64 8.0
3167 48 64 6.0
3168 377 65 9.0
3169 378 241 15.0
3170 379 66 4.0
3171 102 67 22.0
3041 260 93 41.0
3172 70 69 17.0
3173 381 73 26.0
3174 381 73 7.0
3175 381 73 38.0
3176 381 73 4.0
3177 382 75 14.0
3178 18 76 18.0
3179 50 77 6.0
3180 383 80 8.0
3181 384 868 5.0
3182 108 81 23.0
3183 51 82 11.0
3184 386 85 24.0
3185 386 85 4.0
3186 71 87 6.0
3187 388 95 36.0
3188 72 89 8.0
