vocab fequency
android 3635
app 3062
phone 2287
apps 2258
google 1939
device 1904
use 1764
data 1573
settings 1162
like 1126
also 1101
one 1044
using 1016
install 965
system 921
file 912
need 903
root 885
get 821
want 786
way 777
play 765
dont 743
com 743
devices 734
screen 731
application 726
adb 722
would 713
time 700
work 661
see 655
backup 642
go 641
set 629
battery 623
version 606
new 591
usb 589
may 583
access 570
find 551
user 551
applications 547
card 544
market 543
account 540
open 535
store 530
files 527
even 522
used 519
first 511
download 501
could 494
might 482
without 472
answer 468
make 467
wifi 466
sd 465
option 461
rom 459
button 457
im 456
know 454
installed 446
storage 444
mode 444
able 430
back 426
run 424
update 422
apk 419
available 416
doesnt 416
rooted 415
free 414
running 414
still 413
list 404
try 400
works 399
default 394
select 393
network 393
menu 388
different 386
galaxy 385
another 384
phones 378
possible 378
click 376
gps 375
however 372
shell 370
sure 368
gmail 368
change 366
check 365
nexus 363
via 362
command 359
found 359
pc 359
name 358
example 355
well 350
many 349
os 348
location 346
etc 340
recovery 336
question 335
youre 335
power 334
permissions 324
problem 321
number 319
code 319
developer 318
cant 317
call 314
much 314
ive 311
home 308
samsung 306
source 306
stock 305
text 302
http 299
sync 299
mobile 299
disable 296
users 295
since 295
take 293
custom 291
package 291
though 285
actually 284
read 283
start 282
support 282
case 282
security 281
linux 279
information 278
memory 276
server 276
press 276
based 275
solution 275
good 272
something 271
think 268
sdcard 267
create 267
connection 267
tap 266
two 266
theres 264
allows 264
service 264
long 264
options 261
feature 261
done 261
called 260
really 258
browser 255
keep 254
contacts 252
uses 250
remove 247
cache 247
turn 245
add 245
sms 244
things 243
edit 243
probably 243
boot 241
full 240
windows 240
already 237
reset 237
clear 236
enable 236
specific 235
youll 235
computer 232
look 232
image 232
note 231
following 230
choose 230
right 230
maps 229
search 229
usually 228
page 228
folder 227
flash 227
allow 226
simply 226
lock 225
wont 223
internal 221
permission 221
current 221
partition 219
thats 219
internet 219
updates 218
least 217
thing 217
rooting 211
manager 211
delete 211
software 210
seems 210
notification 209
yes 208
put 206
web 206
space 205
send 204
versions 204
id 203
developers 202
reboot 201
charge 201
method 200
means 199
show 199
every 198
automatically 196
tasker 193
https 193
cyanogenmod 193
factory 192
htc 192
services 191
best 191
either 190
little 189
say 189
keyboard 188
similar 187
details 187
always 187
email 186
got 184
requires 184
save 183
far 182
message 182
droid 181
copy 179
setting 179
connect 178
camera 178
connected 178
issue 177
task 176
drivers 176
help 175
password 175
lot 175
give 174
chrome 173
built 172
restore 171
manage 171
link 170
type 170
official 170
line 169
around 168
looks 167
installing 166
messages 166
view 165
info 164
hardware 164
point 164
left 163
terminal 163
people 162
anything 162
process 161
xda 161
kernel 161
directory 160
