ExpertID   TeamID    QuestionIDwithBestAnswer    Score 
9882 0 0 44.0
9883 0 0 8.0
9884 0 0 23.0
9885 3 2843 18.0
9886 0 0 5.0
9887 704 2755 37.0
9888 6 1 6.0
9889 6 1 5.0
9890 31 11 81.0
9891 6 1 61.0
9892 34 2 15.0
9893 34 2 8.0
9894 34 2 15.0
9895 35 3 18.0
9896 7 40 29.0
9897 43 26 156.0
9898 92 535 547.0
9899 60 134 20.0
9900 35 3 5.0
9901 451 72 27.0
9902 147 4 17.0
9903 147 4 25.0
9904 160 5 17.0
9905 160 5 57.0
9906 3 2843 89.0
9907 191 12 17.0
9908 160 5 11.0
9909 160 5 6.0
9910 178 1554 65.0
9911 36 6 26.0
9912 532 2862 17.0
9915 186 23 38.0
9916 185 7 6.0
9917 185 7 9.0
9913 461 51 18.0
9918 188 2247 27.0
9919 191 12 67.0
9920 31 11 50.0
9921 1347 475 190.0
9922 31 11 28.0
9923 232 13 8.0
9924 191 12 10.0
9925 503 106 30.0
9926 191 12 6.0
9927 233 82 17.0
9928 817 200 43.0
9929 241 15 17.0
9930 149 122 12.0
9931 245 539 33.0
9932 244 16 16.0
9933 244 16 4.0
9934 567 236 141.0
9935 243 17 5.0
9936 257 203 12.0
9937 351 204 9.0
9914 237 21 14.0
9938 270 19 6.0
9939 289 2722 59.0
9940 283 20 7.0
9941 287 75 45.0
9942 291 22 17.0
9943 295 856 73.0
9944 1369 564 152.0
9945 319 259 55.0
9946 2309 1962 16.0
9947 186 23 6.0
9948 163 24 71.0
9949 10 148 120.0
9950 163 24 10.0
9951 275 25 4.0
9952 43 26 7.0
9953 43 26 102.0
9954 43 26 10.0
9955 250 28 32.0
9956 250 28 13.0
9957 250 28 5.0
9958 715 575 11.0
9959 250 28 4.0
9960 414 220 27.0
9961 417 31 10.0
9962 251 170 35.0
9963 5 34 8.0
9965 161 36 6.0
9966 422 37 22.0
9967 422 37 10.0
9968 1696 916 59.0
9969 271 42 5.0
9970 234 67 37.0
9971 278 44 22.0
9972 314 86 13.0
9973 164 45 5.0
9974 279 46 13.0
9975 454 94 40.0
9976 1003 237 31.0
9977 190 48 13.0
9978 457 812 20.0
9979 508 126 36.0
9980 411 50 11.0
9981 461 51 7.0
9982 462 54 13.0
9983 462 54 5.0
9984 462 54 9.0
9985 1369 564 135.0
9986 476 55 43.0
9987 476 55 8.0
9988 479 646 86.0
9989 281 60 18.0
9990 281 60 9.0
9991 482 111 21.0
9992 281 60 8.0
9993 2008 1402 59.0
9994 493 2888 64.0
9996 508 126 60.0
9997 517 63 52.0
9998 517 63 4.0
9999 32 64 10.0
10000 162 65 5.0
10004 1009 293 11.0
10005 452 66 4.0
10006 1065 299 9.0
10001 523 196 41.0
10008 533 794 14.0
10009 526 183 9.0
10010 535 250 16.0
10011 1533 690 21.0
10012 539 76 7.0
