answerID answererID
4 18
24 26
26 25
261 174
1108 832
9 34
10 30
13 31
25 60
73 106
17 7
404 186
4676 4939
23 22
28 14
34 61
2227 877
2853 1876
3664 2326
27 63
121 46
687 386
37 77
44 79
142 130
391 107
805 386
1387 970
6422 44
128086 34007
35 14
553 351
605 102
39 50
133 139
206 151
219 61
5771 3417
57347 33203
50 61
61 50
55 60
60 61
116 130
179 157
54 61
57 60
259 174
58 60
70 92
492 244
7937 708
41912 22411
69 92
72 43
74 112
75 107
138 136
333 78
67 11
68 43
65 61
115 82
87 116
284 29
109 120
343 109
2404 1603
112 120
113 14
163 154
164 154
165 154
212 63
247 172
3714 953
5998 3459
92 109
170 139
103 125
244 97
97 119
101 125
105 51
114 82
141 97
145 139
374 68
559 321
638 321
12392 2092
160 151
173 51
621 418
1994 1336
24837 12885
139 130
140 97
1155 860
17570 630
23258 11122
137 97
198 165
147 61
17376 8545
55139 21137
141788 42414
154 119
192 11
210 63
155 154
156 64
158 139
159 136
161 24
306 13
7349 3847
9251 5138
455 97
508 290
640 63
1185 877
203 61
499 157
205 110
230 116
308 13
242 97
260 81
240 51
241 97
256 81
258 174
294 92
257 174
628 418
98366 63780
268 82
272 60
265 174
266 130
96990 62705
271 130
276 61
315 34
356 53
285 177
392 154
393 154
2121 154
7894 4325
292 92
293 154
347 97
948 63
957 555
966 51
311 34
314 14
345 97
363 50
328 97
348 61
350 51
1551 1097
323 171
1906 877
344 97
17212 8484
341 130
680 533
7548 4229
340 97
560 379
3503 953
352 39
2209 1469
360 92
377 130
34756 20179
56181 9434
376 76
460 130
382 64
383 182
419 41
1029 50
403 81
458 130
399 81
406 82
423 190
498 274
5297 2833
6178 2660
7024 2660
7035 630
408 88
557 154
10186 5501
410 82
414 34
416 51
420 61
679 533
432 97
752 515
436 97
463 63
437 97
439 191
491 261
507 193
751 515
3894 2455
69777 2047
441 61
443 51
451 180
604 102
479 34
484 208
446 18
457 77
462 63
472 154
489 247
465 162
466 61
595 415
471 60
487 253
469 130
470 61
5876 3466
483 34
490 260
960 508
965 686
497 39
514 82
1090 86
14101 7074
509 11
510 171
16336 3847
513 130
517 76
45164 24246
533 244
558 260
564 81
546 63
552 61
551 373
603 102
562 274
572 392
4780 877
568 39
574 63
780 192
3651 953
3673 1710
582 61
585 171
589 51
596 82
599 361
617 331
609 171
613 61
626 16
614 63
615 61
632 171
633 418
1159 809
1163 171
6968 2660
6969 630
12389 4839
666 171
853 278
652 51
664 154
80498 23721
654 154
655 515
658 473
662 11
663 136
110785 72633
670 515
671 154
672 63
1434 877
684 290
685 115
690 418
699 533
694 418
695 533
697 515
702 154
5835 3455
8400 4704
8476 154
8478 1396
123146 79735
713 63
721 515
722 193
717 533
731 630
729 247
744 81
737 63
738 51
741 247
746 586
754 365
4714 2882
6177 3528
743 247
745 94938
758 418
759 63
2912 192
761 61
762 81
765 39
768 16
770 599
772 418
777 34
791 115
843 630
793 418
813 34
809 630
810 63
819 63
823 116
821 81
828 630
852 34
846 39
848 63
857 260
899 686
863 418
869 82
880 193
883 674
862 630
867 426
873 180
2808 877
890 630
897 686
908 630
963 81
925 247
936 136
57609 33413
138345 6965
922 203
927 630
941 710
944 691
958 691
974 61
50887 7823
964 278
7745 4386
980 193
999 171
1124 29
984 710
990 630
3241 1876
1017 710
1022 154
1019 418
1020 63
1369 877
1023 247
1024 260
5597 3354
1032 247
1036 63
1039 34
1041 630
1042 418
1053 157
1203 136
1047 51
1048 81
1055 50
1045 51
1051 18
1058 805
1690 877
1114 508
1140 76
1085 630
1093 247
1101 826
1105 82
29832 15880
39075 22049
1122 63
1123 29
1129 171
1127 61
1128 171
1132 630
1142 171
1143 34
1147 418
1145 18
1149 154
1167 247
1175 76
37260 21575
77764 48235
93785 60146
1171 555
1172 247
1180 154
1186 34
1188 736
1197 76
23558 11240
1204 63
1205 154
1207 247
1254 82
1216 247
1219 630
1235 180
1250 50
1234 76
1241 533
1248 247
1255 508
1265 877
4103 1876
44745 18155
1287 322
119633 79433
1291 61
1307 877
1284 82
1289 322
1727 1196
21211 10271
46619 26131
1288 322
1294 940
1304 877
27034 14506
29528 15754
34419 1997
76612 45509
1299 136
1300 630
1303 154
1308 555
1309 555
1325 51
1328 953
1332 63
1418 877
1347 247
1399 51
1362 260
1363 34
12074 6355
1384 877
12602 993
1412 180
1429 154
1424 247
1435 61
1663 1160
11424 5868
118154 8278
1432 34
1433 630
1444 10
1445 51
1458 953
1459 51
1461 630
1488 26
1468 247
1469 940
1486 630
1499 941
1495 630
1498 34
1502 877
1540 418
1524 193
1525 154
1533 1089
1550 24
1549 630
1553 247
1556 247
1560 61
1571 630
1573 154
1574 29
1579 63
33353 1111
1578 247
1580 426
1585 244
1586 630
1593 34
5918 3480
1597 877
1598 1120
1633 34
1674 630
1675 10298
1638 34
31095 3690
1639 34
1640 630
1641 136
1655 630
1680 192
1658 34
1659 630
1678 630
1679 973
1691 418
1696 953
1704 154
1698 287
1702 911
1725 1167
