ExpertID   TeamID    QuestionIDwithBestAnswer    Score 
6399 2 3 41.0
6400 0 0 20.0
6401 736 88 50.0
6402 0 0 16.0
6403 0 0 5.0
6405 85 1673 34.0
6406 1239 1398 288.0
6407 144 1581 94.0
6408 429 1375 125.0
6412 2 3 12.0
6413 190 495 18.0
6410 176 4 16.0
6414 176 4 10.0
6415 194 16 26.0
6416 193 5 44.0
6417 1 6 89.0
6418 223 1544 78.0
6419 225 70 50.0
6420 1 6 9.0
6421 214 788 47.0
6422 216 7 19.0
6423 216 7 13.0
6424 223 1544 47.0
6425 226 8 14.0
6428 664 138 17.0
6429 1432 981 140.0
6430 1077 247 59.0
6431 196 9 4.0
6432 367 1456 58.0
6433 395 10 7.0
6434 395 10 42.0
6435 395 10 7.0
6436 402 59 26.0
6437 404 12 67.0
6438 404 12 132.0
6439 408 76 49.0
6440 404 12 19.0
6441 204 177 12.0
6442 404 12 18.0
6443 1002 194 24.0
6444 404 12 6.0
6445 404 12 7.0
6446 457 1318 122.0
6447 404 12 15.0
6448 1400 826 7.0
6449 404 12 8.0
6450 404 12 4.0
6451 94 411 14.0
6452 459 634 21.0
6453 404 12 9.0
6454 404 12 22.0
6455 273 916 8.0
6404 611 96 17.0
6411 3 33 30.0
6456 462 502 24.0
6457 463 165 16.0
6458 461 15 7.0
6459 194 16 7.0
6460 194 16 14.0
6461 220 17 5.0
6462 462 502 47.0
6463 495 239 37.0
6464 88 19 8.0
6469 89 69 85.0
6466 505 21 21.0
6470 3 33 41.0
6471 195 22 7.0
6472 1521 1566 107.0
6473 529 1329 49.0
6476 92 25 6.0
6477 1499 1219 21.0
6465 503 49 37.0
6478 230 132 34.0
6479 543 28 14.0
6480 561 720 120.0
6481 564 155 40.0
6482 147 1165 20.0
6483 232 54 11.0
6484 567 32 7.0
6485 3 33 9.0
6486 1043 924 215.0
6487 506 34 9.0
6488 126 1153 92.0
6426 727 82 33.0
6489 610 1537 15.0
6490 615 93 30.0
6491 609 37 6.0
6427 398 63 18.0
6492 99 41 8.0
6493 479 442 95.0
6494 619 42 13.0
6495 420 459 60.0
6496 629 440 13.0
6497 408 76 30.0
6498 631 870 52.0
6500 500 48 5.0
6501 500 48 19.0
6502 651 1467 8.0
6506 661 273 14.0
6507 504 53 7.0
6508 662 167 80.0
6509 208 55 30.0
6510 684 1169 94.0
6511 401 58 10.0
6513 402 59 10.0
6514 102 60 10.0
6515 705 552 18.0
6516 706 243 15.0
6517 709 550 24.0
6518 225 70 26.0
6519 969 1692 15.0
6520 75 73 4.0
6522 408 76 7.0
6523 711 309 17.0
6475 408 76 12.0
6524 408 76 9.0
6525 713 1056 9.0
6526 1345 743 12.0
6527 408 76 7.0
6528 716 1038 9.0
6529 765 1099 31.0
6530 874 1631 30.0
6531 722 957 42.0
6532 726 84 7.0
6533 660 81 19.0
6534 727 82 28.0
6535 726 84 49.0
6536 726 84 12.0
6537 509 85 4.0
6538 728 1027 43.0
6539 1039 212 20.0
6540 747 421 10.0
6541 736 88 10.0
6542 1031 567 18.0
6543 235 91 14.0
6544 248 92 43.0
6545 491 364 34.0
6546 615 93 7.0
6547 197 94 5.0
6548 748 1264 14.0
6549 752 351 30.0
6551 237 97 7.0
6552 799 1684 42.0
6553 860 1092 19.0
6554 1194 345 19.0
6504 242 1598 39.0
6555 810 1661 66.0
6550 1559 1388 158.0
6556 107 103 17.0
6557 107 103 8.0
6558 849 104 17.0
6521 221 105 8.0
6503 223 106 30.0
6560 537 107 30.0
6561 1324 918 10.0
6562 866 1672 70.0
6563 710 112 5.0
6564 211 113 7.0
6565 66 116 8.0
6566 66 116 9.0
6567 66 116 7.0
6568 1024 422 11.0
6569 874 1631 45.0
6570 889 120 20.0
6571 889 120 4.0
6572 891 673 9.0
6573 111 121 4.0
6574 666 136 49.0
6575 895 372 37.0
6576 112 123 4.0
6577 1483 1023 32.0
6578 898 295 61.0
6579 257 127 4.0
6580 900 128 10.0
6581 910 390 46.0
6582 616 129 7.0
6583 229 131 13.0
6584 230 132 9.0
6585 230 132 6.0
6586 911 133 25.0
6587 1572 1643 27.0
6588 430 545 36.0
6589 115 135 13.0
6590 666 136 28.0
6591 667 311 7.0
6593 541 141 5.0
6594 239 143 6.0
6595 921 144 16.0
6596 914 145 5.0
6597 925 1193 16.0
6598 915 151 4.0
6599 928 556 42.0
6600 116 152 10.0
6601 916 153 10.0
6602 564 155 8.0
6603 403 156 12.0
6604 929 157 8.0
6605 929 157 17.0
6606 929 157 6.0
6607 930 158 21.0
6608 33 662 27.0
6609 926 160 8.0
6610 70 162 4.0
6611 70 162 4.0
6612 71 163 8.0
6613 117 164 14.0
6614 117 164 8.0
6615 463 165 7.0
6616 939 811 21.0
6617 662 167 6.0
6618 473 168 5.0
6619 950 646 40.0
6620 473 168 9.0
6621 973 213 30.0
6622 305 304 70.0
6623 536 170 10.0
6624 536 170 4.0
6625 213 171 10.0
6626 991 175 16.0
6628 970 178 16.0
6630 995 1647 67.0
6631 996 234 33.0
6632 745 182 23.0
6633 997 183 7.0
6634 801 185 6.0
6635 999 188 9.0
6636 999 188 12.0
6637 746 189 4.0
6638 691 355 38.0
6639 1001 192 29.0
6640 1001 192 4.0
6641 265 193 7.0
6642 1012 582 35.0
6643 1028 1512 49.0
6644 1002 194 4.0
6645 1030 555 24.0
6646 465 195 8.0
6647 1007 269 14.0
6648 1570 1502 53.0
6649 927 202 4.0
6650 927 202 4.0
6652 1039 212 39.0
6653 1008 204 7.0
6654 1008 204 7.0
6655 668 205 8.0
6656 668 205 4.0
6651 1037 207 8.0
6658 1037 207 97.0
6659 1037 207 5.0
6660 1037 207 8.0
6661 972 209 8.0
6662 86 210 23.0
6663 86 210 5.0
6664 1039 212 8.0
6665 1039 212 8.0
6666 1039 212 6.0
6667 1047 1496 89.0
6668 1040 217 5.0
6669 1040 217 7.0
6671 878 219 27.0
6672 311 221 4.0
6474 91 1575 14.0
6673 1050 225 9.0
6674 879 226 6.0
6675 476 622 28.0
6676 1053 227 4.0
6677 277 232 12.0
6678 880 709 49.0
6679 1059 235 28.0
6680 1059 235 6.0
6681 928 556 34.0
6682 628 453 27.0
6683 1064 237 9.0
6684 1065 249 33.0
6685 714 1412 31.0
6686 495 239 14.0
6687 1069 255 67.0
6688 974 240 5.0
6689 275 242 12.0
6690 706 243 4.0
6693 375 1529 12.0
6694 1073 989 51.0
6695 1076 315 13.0
6696 1077 247 41.0
6697 1077 247 11.0
6698 1077 247 29.0
6699 1077 247 14.0
6692 1077 247 8.0
6700 1077 247 18.0
6701 1065 249 23.0
6702 76 251 4.0
6703 1009 252 13.0
6704 1080 661 15.0
6705 1086 336 15.0
6706 1069 255 89.0
6707 1069 255 26.0
6708 1087 579 21.0
6709 317 1284 57.0
6711 705 552 18.0
6712 1093 260 9.0
6713 1094 263 5.0
6714 251 468 22.0
6715 1097 265 4.0
6716 1119 1396 171.0
6717 318 268 4.0
6718 1237 431 17.0
6719 835 1549 38.0
6720 661 273 16.0
6721 1122 277 34.0
6723 321 278 11.0
6724 719 280 15.0
6725 126 1153 62.0
6726 1052 282 14.0
6727 1128 1592 14.0
6728 1052 282 5.0
6729 322 283 9.0
6731 323 284 23.0
6732 1131 549 26.0
6735 585 996 47.0
6736 439 921 82.0
6737 484 294 13.0
6738 484 294 4.0
6739 898 295 7.0
6740 898 295 5.0
6741 898 295 15.0
6742 898 295 7.0
6743 325 296 6.0
6744 470 297 7.0
6745 326 298 5.0
6746 1132 300 13.0
6747 1132 300 7.0
6748 305 304 39.0
6749 1150 415 21.0
6750 305 304 16.0
6751 305 304 10.0
6752 1499 1219 45.0
6753 894 305 11.0
6670 494 1620 14.0
6755 711 309 18.0
6756 711 309 4.0
6757 1076 315 9.0
6758 985 316 6.0
6759 828 317 9.0
6760 1154 318 13.0
6761 441 479 11.0
6762 1155 319 9.0
6763 1156 322 8.0
6764 555 1653 11.0
6765 751 323 30.0
6766 986 324 14.0
6767 1005 325 9.0
6768 271 1413 57.0
6769 1148 327 8.0
6770 252 516 30.0
6771 1187 1282 97.0
6772 1189 444 22.0
6773 1192 334 5.0
6774 885 335 4.0
6775 1086 336 6.0
6776 978 337 14.0
6777 802 338 6.0
6778 1193 343 8.0
6779 984 344 4.0
6780 1194 345 15.0
6781 1195 348 62.0
6784 752 351 4.0
6785 1092 352 7.0
6505 287 526 39.0
6786 544 353 12.0
6787 1210 544 13.0
6789 691 355 24.0
6790 691 355 7.0
6791 561 720 9.0
6792 491 364 9.0
6793 491 364 5.0
6794 241 367 4.0
6795 241 367 4.0
6796 625 368 6.0
6797 895 372 4.0
6798 131 416 38.0
6800 331 374 4.0
6801 132 378 4.0
6802 1467 954 53.0
6803 1475 980 46.0
6804 1206 588 16.0
6805 1011 379 10.0
6806 1196 380 6.0
6807 1139 381 5.0
6808 1139 381 10.0
6809 1139 381 7.0
6811 1141 383 7.0
6812 1121 387 5.0
6813 332 388 5.0
6814 910 390 6.0
6815 1138 392 13.0
6816 803 395 5.0
6817 1149 396 6.0
6818 874 1631 12.0
6819 1208 399 10.0
6820 1209 400 12.0
6821 1210 544 43.0
6822 1520 1154 11.0
6823 184 404 5.0
6825 1220 1391 90.0
6826 1223 407 15.0
6827 1223 407 5.0
6828 550 410 4.0
6829 550 410 4.0
6830 550 410 4.0
6831 881 412 7.0
6832 605 413 10.0
6833 1233 1408 112.0
6834 1150 415 7.0
6835 1235 417 7.0
6836 747 421 21.0
6837 1022 423 25.0
6838 254 1689 6.0
6839 902 430 9.0
6840 1237 431 8.0
6841 1191 432 7.0
6842 334 435 4.0
6843 551 436 4.0
6844 1061 439 13.0
6845 1061 439 11.0
6846 629 440 12.0
6847 479 442 14.0
6848 1238 447 12.0
6849 420 459 10.0
6850 1063 449 4.0
6856 628 453 7.0
6799 1201 456 17.0
6857 420 459 25.0
6858 420 459 24.0
6859 420 459 17.0
6860 694 1006 34.0
6861 1446 1054 165.0
6862 1251 1522 11.0
6863 462 502 19.0
6864 446 466 25.0
6865 251 468 9.0
6870 622 474 20.0
6868 1258 539 15.0
6871 1151 1047 5.0
6872 192 478 4.0
6873 441 479 5.0
6874 441 479 5.0
6875 447 480 42.0
6876 1081 481 4.0
6877 1081 481 5.0
6878 1263 1308 52.0
6879 1078 485 8.0
6880 144 1581 85.0
6881 950 646 13.0
6882 215 490 8.0
6884 382 492 4.0
6885 987 493 8.0
6886 1268 496 5.0
6887 448 497 4.0
6888 696 498 4.0
6889 708 501 13.0
6890 462 502 20.0
6891 462 502 10.0
6892 462 502 12.0
6893 462 502 6.0
6824 462 502 5.0
6894 462 502 60.0
6895 462 502 6.0
6896 1260 505 4.0
6897 449 511 7.0
6592 574 1280 24.0
6898 485 515 6.0
6899 485 515 7.0
6900 252 516 4.0
6902 438 521 4.0
6903 450 529 28.0
6904 1273 525 11.0
6905 1466 1546 10.0
6906 1274 932 17.0
6908 338 528 4.0
6909 450 529 14.0
6910 1176 530 4.0
6911 1279 595 11.0
6912 1278 531 11.0
6913 1280 532 34.0
6914 1280 532 8.0
6915 1280 532 5.0
6916 1277 534 11.0
6917 440 535 8.0
6918 1016 537 14.0
6919 1016 537 4.0
6921 1281 542 7.0
6922 1407 835 24.0
6923 1291 837 18.0
6924 1281 542 10.0
6925 1210 544 8.0
6926 1210 544 6.0
6927 430 545 6.0
6928 430 545 5.0
6929 1294 546 9.0
6930 1294 546 43.0
6931 1294 546 6.0
6932 1294 546 68.0
6933 1131 549 5.0
6934 709 550 10.0
6935 709 550 7.0
6937 1261 551 6.0
6938 705 552 13.0
6939 1296 600 11.0
6940 928 556 4.0
6941 1297 563 18.0
6942 957 558 10.0
6943 957 558 4.0
6944 137 560 5.0
6948 958 611 49.0
6949 451 566 8.0
6950 934 699 10.0
6951 1031 567 7.0
6952 1307 568 7.0
6953 1262 569 5.0
6955 1501 1309 74.0
6956 697 584 10.0
6947 1299 638 58.0
6959 1309 577 18.0
6960 1309 577 9.0
6958 1311 578 48.0
6961 1311 578 32.0
6962 1311 578 5.0
6964 161 1202 30.0
6965 1012 582 6.0
6966 1314 583 16.0
6691 1333 1432 49.0
6967 953 586 7.0
6968 1315 587 5.0
6969 1206 588 5.0
6970 1316 590 8.0
6971 41 591 12.0
6972 41 591 7.0
6973 806 593 6.0
6975 954 594 6.0
6976 1317 1628 13.0
6977 837 597 18.0
6907 1275 1536 14.0
6978 1276 598 9.0
6980 1319 602 5.0
6981 1179 603 8.0
6982 804 608 17.0
6983 959 612 6.0
6986 1302 617 28.0
6957 1473 987 31.0
6988 960 621 13.0
6989 1324 918 76.0
6990 838 629 4.0
6993 1205 630 9.0
6994 578 633 6.0
6995 578 633 17.0
6996 578 633 24.0
6997 578 633 5.0
6998 839 750 8.0
6999 96 636 5.0
7000 43 639 7.0
7001 1499 1219 23.0
7002 1340 1679 34.0
7003 950 646 7.0
7004 936 648 17.0
7005 936 648 4.0
7006 555 1653 13.0
7007 606 651 9.0
7008 698 652 9.0
7009 44 654 25.0
7010 44 654 5.0
7011 44 654 5.0
7012 841 660 9.0
7013 33 662 12.0
7014 33 662 4.0
7015 33 662 4.0
7016 164 1655 21.0
7017 45 663 4.0
6499 574 1280 139.0
7018 1180 665 6.0
7019 341 669 6.0
7020 842 670 10.0
7021 891 673 7.0
7022 274 675 25.0
7023 274 675 6.0
7024 1342 747 16.0
7025 584 965 43.0
7026 1343 680 13.0
6559 1044 1591 41.0
7027 690 684 9.0
7028 955 685 6.0
7029 1344 687 14.0
7030 843 690 6.0
7031 947 691 7.0
7032 1345 743 12.0
7033 1347 696 26.0
7034 1348 695 4.0
7035 1347 696 8.0
7036 1350 697 56.0
7037 1350 697 9.0
7038 1350 697 25.0
7039 1499 1219 92.0
7040 934 699 6.0
7041 934 699 4.0
7042 1361 700 11.0
7043 1361 700 4.0
7044 1362 701 17.0
7045 142 885 54.0
7046 49 703 6.0
7047 880 709 8.0
7048 880 709 10.0
7049 880 709 6.0
7050 937 712 12.0
7051 557 713 4.0
7052 557 713 5.0
7053 557 713 8.0
7054 858 714 6.0
7055 1366 715 32.0
7059 384 717 4.0
7060 561 720 40.0
7061 561 720 7.0
7062 554 723 4.0
7063 961 727 20.0
7064 1200 729 7.0
7065 631 870 26.0
7066 48 732 6.0
7067 48 732 4.0
7068 342 733 5.0
7069 808 734 14.0
7070 563 738 4.0
7071 1367 744 11.0
7072 1367 744 4.0
7073 118 746 6.0
7074 1368 753 11.0
7075 379 754 16.0
7076 379 754 4.0
7077 343 763 17.0
7078 1369 755 6.0
6867 1257 1658 14.0
7079 1370 758 6.0
7080 344 760 12.0
7081 344 760 20.0
6991 23 1499 24.0
7082 50 768 15.0
7083 1372 922 45.0
7084 1373 769 5.0
7085 1374 770 16.0
7086 1374 770 6.0
7087 1376 888 11.0
7088 570 799 9.0
7089 1074 988 23.0
7090 1463 1069 6.0
7091 371 929 50.0
7092 892 782 11.0
7093 1184 785 8.0
7094 1394 786 5.0
7095 1394 786 5.0
7096 214 788 16.0
7097 1356 791 7.0
7098 1396 793 14.0
6855 1239 1398 89.0
7104 1398 800 16.0
7105 943 801 6.0
7101 555 1653 33.0
7106 1384 805 10.0
7107 1286 806 10.0
7109 1402 807 9.0
7110 1402 807 5.0
7111 1403 809 15.0
7113 1287 812 7.0
7114 1287 812 42.0
7115 1287 812 15.0
7116 1404 815 4.0
7117 1405 817 21.0
7118 345 819 6.0
7119 345 819 4.0
7120 346 821 4.0
7121 712 850 6.0
7108 1401 844 57.0
7122 387 827 10.0
7123 811 828 6.0
7124 811 828 4.0
7100 1285 1646 20.0
7125 1406 833 9.0
7126 1407 835 9.0
7127 846 863 19.0
7128 110 841 4.0
7129 1408 845 10.0
7130 526 1273 11.0
7131 1401 844 23.0
7132 1401 844 14.0
7133 1401 844 6.0
7134 1401 844 6.0
7135 55 847 4.0
7136 1371 849 6.0
7137 1371 849 4.0
7138 712 850 16.0
7139 712 850 6.0
7140 436 1261 37.0
7141 845 858 14.0
7142 587 1060 7.0
7143 18 862 10.0
7144 1289 864 10.0
7145 1415 867 5.0
7146 1497 1399 61.0
7147 1426 872 11.0
7148 1426 872 4.0
7149 1183 873 18.0
7150 1427 875 6.0
7151 1306 876 12.0
7152 426 877 22.0
7153 1162 879 4.0
7154 581 880 4.0
7155 581 880 17.0
7156 1430 883 7.0
7157 1377 884 5.0
7158 650 948 18.0
7159 142 885 9.0
7160 142 885 14.0
7161 142 885 8.0
7162 1431 1096 11.0
7163 348 895 32.0
7164 57 896 15.0
7165 57 896 9.0
7166 1435 1062 8.0
7167 1513 1611 12.0
7168 582 901 7.0
7170 143 978 22.0
7171 1153 903 19.0
7172 1438 1420 15.0
7173 1439 917 10.0
7174 1439 917 6.0
7177 1326 920 84.0
6979 1318 930 88.0
7179 439 921 8.0
7180 1442 923 8.0
7181 1043 924 13.0
7182 1043 924 12.0
7183 1043 924 4.0
7184 349 925 7.0
7185 1446 1054 89.0
7186 1443 927 4.0
7187 1447 928 8.0
7188 1448 1120 8.0
7189 371 929 8.0
7190 1318 930 86.0
7191 1318 930 16.0
7192 1449 931 35.0
7193 1543 1321 23.0
7194 1452 934 6.0
7195 1454 935 6.0
7196 1455 940 19.0
7197 1456 939 9.0
7198 1455 940 8.0
7205 1113 1551 50.0
6987 650 948 46.0
7206 650 948 4.0
7207 1049 951 7.0
7208 1466 1546 5.0
7209 1089 953 18.0
7210 1089 953 13.0
7211 1467 954 19.0
7212 1468 956 7.0
