vocab fequency
would 5281
war 4901
one 4293
time 3010
also 2964
could 2772
people 2635
first 2604
even 2234
much 2127
many 2072
german 1868
like 1786
used 1779
history 1704
century 1679
world 1675
answer 1652
two 1651
british 1643
us 1642
states 1635
germany 1612
well 1565
army 1535
empire 1530
question 1491
new 1434
roman 1425
years 1364
military 1339
soviet 1327
use 1292
french 1291
battle 1285
however 1268
made 1256
europe 1239
france 1227
part 1221
american 1211
example 1193
way 1189
wikipedia 1180
early 1147
great 1144
may 1140
state 1139
long 1119
power 1099
still 1096
country 1073
large 1069
good 1063
around 1054
different 1045
later 1031
see 1027
didnt 1025
another 1004
modern 1001
might 995
english 994
king 993
since 981
government 966
think 963
became 940
union 933
know 926
back 923
least 916
united 911
south 910
far 906
north 904
countries 895
point 894
actually 893
probably 891
population 889
land 886
fact 879
book 879
less 875
ancient 874
known 872
general 864
britain 856
day 852
men 840
really 840
russia 835
european 830
called 824
period 822
japanese 821
make 817
found 813
england 811
get 811
article 810
east 807
soldiers 807
source 797
according 791
important 791
say 790
times 790
number 789
ships 789
take 785
reason 778
germans 775
rather 770
dont 770
language 764
russian 759
western 754
without 747
seems 746
lot 743
ii 740
china 736
several 731
never 729
city 729
find 727
name 723
forces 722
though 706
although 704
case 701
end 700
political 693
middle 686
second 679
japan 672
often 671
right 671
quite 671
hitler 668
given 662
attack 660
took 645
india 641
three 638
civil 638
came 637
course 635
better 631
old 629
enough 625
place 620
late 619
side 610
likely 608
common 606
high 604
considered 602
major 600
main 593
troops 592
west 587
last 587
already 586
force 581
trade 576
thus 576
enemy 576
year 573
similar 572
america 569
line 565
small 565
said 563
based 563
means 562
historical 560
system 556
little 552
work 551
wasnt 549
either 548
others 545
days 545
possible 543
party 542
started 541
rome 538
got 538
due 537
im 534
able 534
today 533
mostly 531
almost 528
sea 526
greek 525
need 523
lost 518
age 518
bc 515
sources 514
left 513
things 513
go 512
area 510
going 509
term 505
death 505
support 502
reasons 501
order 501
read 499
hand 499
written 496
life 495
set 494
fighting 494
short 493
note 492
among 492
evidence 492
territory 490
ship 490
every 489
revolution 487
spain 486
wars 486
law 484
went 483
republic 482
romans 482
including 481
spanish 481
etc 479
free 478
something 477
million 474
best 471
allies 471
following 469
chinese 467
poland 466
medieval 465
look 464
