ExpertID   TeamID    QuestionIDwithBestAnswer    Score 
38366 468 106 78.0
38367 1 0 6.0
38368 2834 178 50.0
38369 61 59 50.0
38370 8762 4996 205.0
38371 3061 426 55.0
38372 115 1194 30.0
38373 135 676 41.0
38374 241 2183 69.0
38375 2063 239 48.0
38376 2542 10034 22.0
38377 2834 178 67.0
38378 102 2589 15.0
38379 2 1 17.0
38380 5933 1816 38.0
38381 2 1 15.0
38382 7117 1855 38.0
38383 4008 299 23.0
38384 2 1 5.0
38385 197 2 43.0
38386 227 1186 203.0
38387 197 2 8.0
38388 238 77 26.0
38389 257 398 129.0
38390 306 2739 45.0
38391 333 4 37.0
38392 2285 2755 78.0
38393 402 5137 95.0
38394 333 4 69.0
38395 646 2809 16.0
38396 427 5 9.0
38397 1780 9380 124.0
38398 427 5 6.0
38399 458 663 13.0
38400 427 5 12.0
38401 427 5 4.0
38402 427 5 4.0
38403 427 5 5.0
38404 463 6345 45.0
38405 1939 468 152.0
38406 470 7 4.0
38407 471 9494 31.0
38410 434 1215 67.0
38411 480 8 15.0
38412 524 3346 13.0
38413 4373 3008 103.0
38414 6109 1184 64.0
38415 575 834 74.0
38418 525 11 67.0
38419 644 6271 35.0
38420 685 3564 134.0
38421 697 12 5.0
38422 1939 468 44.0
38423 2623 823 35.0
38424 4701 2566 15.0
38425 3592 933 118.0
38426 732 9801 66.0
38427 2356 833 72.0
38408 474 8707 23.0
38428 5961 9672 16.0
38429 1581 1448 32.0
38430 758 13 25.0
38431 1564 2273 76.0
38432 2942 3906 63.0
38433 826 14 45.0
38434 826 14 45.0
38435 8073 3442 23.0
38436 2728 9298 67.0
38437 9 15 62.0
38438 2728 9298 104.0
38439 2020 9613 50.0
38440 8427 9023 176.0
38441 971 18 6.0
38442 974 713 12.0
38443 5631 1315 40.0
38444 5206 8324 49.0
38446 1163 9251 118.0
38447 531 23 11.0
38448 531 23 14.0
38449 3573 513 9.0
38450 3025 9236 38.0
38451 3842 673 96.0
38453 1477 312 10.0
38454 1185 79 44.0
38455 1224 2090 71.0
38456 2834 178 17.0
38457 7117 1855 21.0
38458 2834 178 9.0
38459 1489 4804 21.0
38463 2209 1390 119.0
38464 1916 743 60.0
38465 26 118 44.0
38466 25 32 7.0
38467 63 33 9.0
38468 256 291 13.0
38469 1327 35 10.0
38470 3842 673 72.0
38471 469 621 46.0
38472 1350 36 6.0
38473 4010 1408 94.0
38474 1378 1904 54.0
38475 4186 4540 112.0
38476 949 51 7.0
38477 1429 3313 206.0
38478 1572 9451 55.0
38479 1921 180 26.0
38480 4373 3008 51.0
38481 1479 335 32.0
38482 1482 3500 23.0
38483 1269 39 17.0
38484 126 279 29.0
38485 62 90 38.0
38486 464 41 9.0
38487 3988 295 136.0
38488 464 41 43.0
38489 464 41 4.0
38490 4026 1869 31.0
38491 4664 3302 26.0
38492 5127 2407 123.0
38493 905 10114 35.0
38494 121 44 7.0
38495 4396 2738 16.0
38496 121 44 7.0
38497 5070 2515 24.0
38498 121 44 6.0
38499 121 44 7.0
38500 121 44 4.0
38501 4546 6001 93.0
38502 1276 4035 144.0
38505 1700 3647 26.0
38507 594 1395 28.0
38508 2619 9806 41.0
38509 1737 9428 40.0
38510 1726 47 9.0
38511 24 306 31.0
38512 23 49 11.0
38513 23 49 4.0
38514 1740 122 14.0
38515 4010 1408 185.0
38416 627 243 76.0
38516 911 53 40.0
38517 949 51 4.0
38518 1061 9280 67.0
38519 1555 470 28.0
38520 654 3264 41.0
38521 911 53 34.0
38522 4523 407 23.0
38523 537 2213 31.0
38524 2510 6344 17.0
38525 67 55 15.0
38526 67 55 25.0
38527 1771 56 11.0
38528 1775 4088 40.0
38529 1782 493 43.0
38530 1547 58 6.0
38531 4387 7982 49.0
38532 61 59 17.0
38533 1848 962 75.0
38534 1064 125 22.0
38535 4279 9121 13.0
38536 40 63 5.0
38537 1858 166 97.0
38538 1351 64 6.0
38540 4 67 17.0
38541 1868 8371 29.0
38542 1874 92 48.0
38543 1900 139 32.0
38544 584 69 45.0
38545 4278 9644 16.0
38546 1911 9768 32.0
38547 1746 1250 27.0
38548 4002 924 43.0
38549 1572 9451 33.0
38551 1931 5635 43.0
38552 261 343 10.0
38553 1921 180 56.0
38554 582 74 4.0
38558 4051 405 73.0
38559 1942 75 26.0
38560 3214 950 20.0
38561 5809 4153 11.0
38562 3858 257 9.0
38563 238 77 4.0
38565 2951 10115 11.0
38566 1185 79 26.0
38567 1185 79 10.0
38568 1185 79 17.0
38569 1974 83 19.0
38570 201 220 26.0
38571 1429 3313 47.0
38572 2009 7362 38.0
38573 2021 111 83.0
38574 2885 216 36.0
38575 1071 85 6.0
38576 2048 958 42.0
38577 4808 2671 11.0
38578 3988 295 26.0
38460 1263 2363 15.0
38579 2054 88 6.0
38580 2054 88 42.0
38581 7117 1855 58.0
38582 2834 178 62.0
38583 2054 88 4.0
38584 2053 89 5.0
38585 974 713 22.0
38586 139 700 8.0
38587 2063 239 38.0
38588 1347 369 9.0
38589 3995 1066 137.0
38590 2298 10054 63.0
38591 7193 9968 14.0
38503 1694 2016 28.0
38592 6466 9558 34.0
38593 4373 3008 57.0
38594 1063 93 5.0
38445 4348 1548 121.0
38595 1383 94 8.0
38596 2580 144 37.0
38597 4702 838 18.0
38598 4324 5323 25.0
38599 2396 1213 112.0
38600 2231 9829 27.0
38601 2233 450 8.0
38602 204 261 23.0
38603 744 97 5.0
38604 2238 8438 13.0
38608 1585 99 4.0
38609 436 1520 41.0
38610 2563 4960 29.0
38611 571 102 7.0
38612 571 102 6.0
38613 2908 9715 76.0
38614 874 1527 65.0
38615 2486 2587 188.0
38550 1066 351 47.0
38616 1939 468 25.0
38617 7117 1855 73.0
38618 1347 369 123.0
38619 7494 2855 37.0
38620 4228 537 6.0
38621 2561 4935 114.0
38622 1100 597 41.0
38623 2576 109 13.0
38624 2610 8722 50.0
38625 5010 1849 53.0
38626 2021 111 31.0
38627 2620 5361 17.0
38628 557 113 9.0
38629 4346 1526 12.0
38630 590 114 21.0
38631 2624 2620 29.0
38632 3611 404 24.0
38633 2635 545 56.0
38634 5440 3160 11.0
38635 1589 117 5.0
38636 6243 4312 59.0
38637 6065 2451 93.0
38638 1504 119 15.0
38639 3585 2230 36.0
38640 7193 9968 37.0
38641 1330 3761 29.0
38652 6945 3035 31.0
38653 1740 122 9.0
38654 6617 4516 14.0
38655 1347 369 27.0
38656 7383 2038 21.0
38657 1977 130 9.0
38658 1477 312 84.0
38659 7117 1855 64.0
38660 32 268 48.0
38661 2773 9118 27.0
38662 2809 134 4.0
38663 2809 134 4.0
38664 1900 139 19.0
38665 2828 7787 33.0
38666 2834 178 91.0
38667 2835 182 11.0
38668 3251 1323 92.0
38669 1431 138 12.0
38670 358 9630 75.0
38671 2874 142 22.0
38672 2353 2623 77.0
38673 2880 143 29.0
38674 2880 143 8.0
38675 2529 9223 53.0
38676 2580 144 21.0
38677 2580 144 9.0
38678 2580 144 15.0
38679 2580 144 5.0
38680 2580 144 9.0
38681 2894 733 17.0
38682 2580 144 22.0
38683 2580 144 15.0
38684 2580 144 18.0
38685 2897 2075 20.0
38686 6104 1078 29.0
38687 2580 144 5.0
38688 5852 5430 33.0
38689 6005 9857 15.0
38690 2901 4109 10.0
38691 2580 144 6.0
38692 2904 4337 10.0
38693 2580 144 5.0
38694 2580 144 42.0
38695 2933 3186 41.0
38696 2938 3860 19.0
38697 3814 4709 32.0
38713 2986 4875 16.0
38714 1301 148 53.0
38715 2998 9017 61.0
38716 1856 149 5.0
38717 4747 3524 20.0
38721 793 5827 25.0
38722 1275 1376 41.0
38729 79 157 10.0
38730 3801 1878 39.0
38725 2075 1642 74.0
38731 3112 2030 75.0
38732 7962 2824 19.0
38733 2334 162 16.0
38734 3118 163 9.0
38735 1352 322 16.0
38736 3118 163 24.0
38737 3118 163 5.0
38738 3118 163 23.0
38739 3118 163 10.0
38740 5787 840 14.0
38741 7656 3135 54.0
38742 1089 264 30.0
38743 3146 9532 98.0
38744 7386 2117 31.0
38745 3152 648 81.0
38746 1858 166 4.0
38747 1858 166 5.0
38748 1858 166 4.0
38749 3167 4575 18.0
38750 3169 5760 19.0
38751 3179 168 12.0
38752 3035 474 62.0
38753 3183 169 37.0
38754 6984 3005 160.0
38756 119 282 10.0
38757 2834 178 102.0
38758 1348 336 18.0
38759 202 175 4.0
38761 3292 8970 41.0
38762 1459 177 67.0
38763 2834 178 6.0
38764 2834 178 109.0
38765 2834 178 25.0
38766 2405 1794 17.0
38767 2834 178 55.0
38755 2834 178 30.0
38768 2834 178 23.0
38769 2834 178 4.0
38770 4625 1506 10.0
38771 2834 178 30.0
38772 2573 2441 67.0
38773 2834 178 4.0
38774 2834 178 55.0
38775 2834 178 144.0
38776 7750 2443 31.0
38777 3372 2679 23.0
38710 2834 178 26.0
38778 2834 178 4.0
38779 3386 7512 31.0
38780 2834 178 7.0
38781 611 9501 7.0
38782 5013 4774 13.0
38783 2834 178 5.0
38784 8483 6846 13.0
38785 3391 7797 15.0
38786 4929 2612 61.0
38787 3397 1528 150.0
38788 3402 364 25.0
38789 4536 3176 14.0
38790 7248 4425 199.0
38791 3801 1878 50.0
38792 3449 275 47.0
38793 2499 4399 27.0
38794 3492 9117 119.0
38796 109 199 8.0
38797 109 199 4.0
38798 180 200 18.0
38799 3503 3379 17.0
38800 586 202 9.0
38801 36 331 12.0
38802 3505 7637 12.0
38803 5127 2407 86.0
38564 1971 3289 46.0
38805 2055 411 183.0
