ExpertID   TeamID    QuestionIDwithBestAnswer    Score 
17476 4074 3289 21.0
17477 412 46 363.0
17480 1044 209 43.0
17481 66 4692 23.0
17482 62 1 9.0
17483 68 2 30.0
17484 68 2 13.0
17485 68 2 4.0
17486 68 2 29.0
17487 68 2 310.0
17488 68 2 96.0
17489 1883 914 55.0
17490 230 210 12.0
17491 4599 4371 79.0
17495 236 111 37.0
17496 1424 371 258.0
17497 235 3 7.0
17498 273 4 23.0
17479 518 118 75.0
17502 61 5 6.0
17501 680 26 83.0
17503 17 586 6.0
17504 284 6 41.0
17505 314 3841 211.0
17506 323 150 20.0
17493 319 7 5.0
17507 335 44 46.0
17508 340 871 28.0
17471 0 4850 22.0
17509 680 26 170.0
17510 380 554 42.0
17511 381 10 12.0
17512 1888 1142 20.0
17514 449 11 12.0
17515 449 11 11.0
17516 283 12 19.0
17517 450 79 12.0
17478 281 13 30.0
17513 1313 200 173.0
17518 458 2161 217.0
17519 975 73 47.0
17520 1313 200 29.0
17521 515 157 10.0
17522 56 17 6.0
17523 838 4559 44.0
17472 8 147 114.0
17524 528 1659 18.0
17525 1890 1066 33.0
17526 541 697 157.0
17528 917 71 186.0
17529 3412 2279 48.0
17530 664 318 22.0
17531 918 77 56.0
17532 667 23 17.0
17533 672 617 38.0
17535 4533 4169 12.0
17536 680 26 29.0
17537 680 26 119.0
17538 680 26 11.0
17539 4604 4383 13.0
17540 680 26 4.0
17541 917 71 51.0
17542 1311 130 23.0
17543 728 3345 54.0
17544 1293 4833 32.0
17545 412 46 70.0
17546 670 33 4.0
17547 751 34 19.0
17548 4200 3575 59.0
17549 410 35 11.0
17550 410 35 4.0
17551 410 35 15.0
17552 410 35 9.0
17553 798 1568 64.0
17554 410 35 5.0
17555 410 35 6.0
17556 410 35 47.0
17557 247 54 15.0
17558 58 37 4.0
17559 332 39 5.0
17560 811 814 32.0
17561 391 41 14.0
17562 813 42 13.0
17563 814 93 5.0
17564 813 42 13.0
17565 813 42 4.0
17566 813 42 7.0
17567 411 45 9.0
17568 412 46 9.0
17569 820 3011 68.0
17570 412 46 5.0
17571 23 1114 11.0
17572 412 46 5.0
17573 65 188 69.0
17527 237 4671 22.0
17576 641 50 20.0
17580 841 51 5.0
17581 841 51 19.0
17582 286 53 9.0
17583 1423 605 12.0
17584 787 55 4.0
17585 852 364 39.0
17586 872 904 54.0
17587 325 60 5.0
17588 342 66 13.0
17589 1027 83 30.0
17590 840 67 5.0
17591 917 71 12.0
17592 919 72 37.0
17593 917 71 271.0
17594 925 194 58.0
17595 1451 4529 46.0
17596 956 312 50.0
17597 917 71 8.0
17598 2498 2492 7.0
17599 917 71 4.0
17600 3998 3156 75.0
17601 919 72 18.0
17602 649 127 21.0
17603 975 73 12.0
17604 980 76 19.0
17605 975 73 13.0
17606 8 147 126.0
17607 1068 536 94.0
17608 918 77 35.0
17609 1114 238 20.0
17577 252 106 14.0
17610 334 81 6.0
17611 3216 2098 15.0
17612 334 81 5.0
17613 1120 156 14.0
17614 1124 86 23.0
17615 2871 1629 19.0
17616 644 87 5.0
17534 676 639 71.0
17617 348 88 29.0
17618 974 89 4.0
17619 648 90 7.0
17620 1130 91 15.0
17621 366 167 12.0
17622 1147 1151 39.0
17499 274 135 32.0
17623 1150 102 7.0
17624 833 103 5.0
17625 322 104 7.0
17626 1151 4739 25.0
17627 355 107 4.0
17628 1201 3001 203.0
17629 326 109 4.0
17632 236 111 8.0
17633 646 112 4.0
17634 1211 113 7.0
17635 351 114 6.0
17636 1231 1057 80.0
17637 1270 4839 378.0
17638 249 117 19.0
17639 643 119 4.0
17640 338 120 8.0
17641 1293 4833 49.0
17642 329 121 7.0
17630 372 272 12.0
17644 1304 1750 84.0
17645 649 127 44.0
17646 1309 129 53.0
17647 1311 130 116.0
17648 1311 130 10.0
17649 1914 3508 16.0
17650 571 270 54.0
17643 255 4481 40.0
17651 277 134 14.0
17652 274 135 9.0
17653 370 136 11.0
17654 349 137 23.0
17655 982 142 11.0
17656 1319 143 93.0
17657 1319 143 125.0
17658 1319 143 16.0
17659 1332 581 59.0
17660 1916 4457 104.0
17661 1319 143 7.0
17663 1316 144 7.0
17664 419 145 4.0
17665 8 147 4.0
17666 1351 148 6.0
17667 1352 162 29.0
17668 256 1196 32.0
17669 1394 3829 167.0
17670 347 152 4.0
17671 810 153 5.0
17672 339 154 4.0
17673 1054 159 6.0
17674 1401 859 14.0
17675 1352 162 4.0
17676 920 249 21.0
17677 1405 535 37.0
17678 257 363 15.0
17575 106 189 24.0
17679 1413 179 8.0
17680 1424 371 74.0
17681 83 180 6.0
17682 83 180 9.0
17683 571 270 30.0
17684 1418 182 14.0
17685 279 1545 23.0
17494 541 697 21.0
17686 86 184 5.0
17687 1687 494 48.0
17688 1421 187 27.0
17689 1421 187 4.0
17690 1423 605 22.0
17691 1437 1947 52.0
17692 1443 741 45.0
17693 139 192 6.0
17695 1447 3547 33.0
17500 760 335 21.0
17696 1451 4529 12.0
17697 569 197 4.0
17698 3949 3144 23.0
17699 142 199 4.0
17700 1313 200 7.0
17701 1313 200 17.0
17702 1218 748 10.0
17706 1474 1637 79.0
17707 983 556 33.0
17708 259 214 5.0
17709 539 234 20.0
17710 148 223 8.0
17711 681 227 97.0
17712 2258 4562 42.0
17713 1499 437 56.0
17714 239 294 6.0
17715 1505 4537 21.0
17716 1505 4537 13.0
17717 1504 235 22.0
17719 4209 3549 63.0
17720 152 241 73.0
17721 4112 4835 10.0
17722 153 396 16.0
17723 541 697 26.0
17724 1509 275 23.0
17725 154 258 26.0
17726 1417 261 7.0
17727 1417 261 4.0
17728 1510 265 10.0
17729 1510 265 5.0
17730 1511 266 10.0
17662 1349 1934 39.0
17731 155 286 8.0
17732 571 270 49.0
17733 571 270 39.0
17734 571 270 25.0
17735 571 270 25.0
17736 571 270 212.0
17737 571 270 36.0
17738 571 270 23.0
17739 571 270 740.0
17740 571 270 15.0
17741 571 270 4.0
17742 571 270 11.0
17743 571 270 7.0
17744 372 272 6.0
17745 669 273 4.0
17746 943 277 6.0
17747 2224 1045 17.0
17748 278 281 12.0
17749 1523 283 11.0
17750 239 294 38.0
17751 1523 283 5.0
17752 1524 293 27.0
17753 1524 293 4.0
17754 1524 293 4.0
17755 426 4743 13.0
17756 1524 293 9.0
17757 1524 293 12.0
17758 1524 293 12.0
17759 872 904 5.0
17760 3196 2081 23.0
17762 102 365 25.0
17763 239 294 6.0
17764 1535 296 15.0
17765 3234 4771 105.0
17766 157 297 13.0
17718 1408 4428 6.0
17767 1142 302 7.0
17768 1142 302 5.0
17769 1142 302 5.0
17770 1142 302 13.0
17771 1061 305 8.0
17773 159 307 4.0
