answerID answererID
4 20
5 13
34567 11517
137669 7743
402811 194034
5704 71
14795 4864
8 42
180 59
46 78
63 97
43443 11205
48 82
56 95
1168 574
3176 1350
3177 1236
3180 1403
3191 1341
3473 1458
52561 20391
30 42
144 141
190 78
813 345
18417 6432
33 56
34 74
36 48
44 79
194 74
67 20
2109 838
2888 1287
66 29
70 82
285 59
312863 30051
80 29
155 40
701 353
105445 43351
656 369
685 345
690 166
87 82
261 19
112 20
135 66
1011 329
136 134
76349 11062
96 82
97 13
120 124
262 19
233 15
23260 7786
103 29
104 82
105 116
128 66
116 29
118 78
143 133
148 42
125 124
252418 50583
126 124
2961 9624
131 124
3029 1335
152 42
2383 1013
18888 6901
32077 4864
149 82
4922 386
170 13
13234 4066
13393 1255
188 13
195 124
284 19
5000 1492
200 97
201 124
281 78
203 74
227 78
230 107
251 29
213 74
730 383
733 392
4622 1352
240 82
242 124
299 59
241 126
255 121
2441 869
245 126
249 13
250 15
731 176
121849 1492
288 19
289 124
293 74
65738 23119
291 18
295 66
310 29
77735 26076
77977 29011
175982 75882
201811 89839
297 82
655 142
308 166
2437 391
313 124
378343 84967
318 163
320 78
5469 1492
336 166
349 126
355 139
345 18
380 18
351 121
352 163
369 144
360 139
421 78
451 66
362 47
43803 347
376 124
563 306
20297 7427
20299 4075
35064 11686
77861 1268
132364 57855
158184 70256
247415 59215
400 62
948 29
459 42
460 50
394 78
395 124
412 59
17781 4864
416 166
418 124
773 411
438 66
1867 775
7714 1352
432 124
440 59
428 124
434 59
555 225
441 165
462 184
521 59
3949 1337
23935 8753
338120 100917
471 18
472 78
479 126
474 166
476 126
481 124
1335 651
538 124
539 173
540 18
543 139
14694 5223
14752 4864
19470 7117
39725 12998
57252 22138
112180 347
552 74
569 166
547 124
952 373
588 327
1868 775
1870 391
1887 358
576 20
582 124
616 107
624 74
631 62
642 42
654 292
648 327
1485 100
1510 391
4923 1352
5381 2045
5993 301
6107 386
632 28
637 62
1064 539
635 306
689 345
663 29
669 217
667 74
668 62
17600 1631
680 306
762 19
767 47
840 380
841 380
14081 29
713 142
722 42
724 42
740 347
735 42
751 399
9039 2451
761 19
2884 1236
785 369
8761 3150
800 82
811 74
824 139
826 373
816 78
818 329
878 18
851 369
852 329
863 66
864 82
904 97
909 217
881 19
1003 516
894 28
895 126
928 13
1199 405
4371 1462
929 56
960 74
930 126
981 391
949 373
958 166
941 489
943 383
947 472
953 329
954 142
969 347
972 353
975 61
2806 1241
3204 1353
3211 1352
4874 1782
53938 17026
156375 68919
256500 46757
304221 92058
973 472
993 474
1009 518
1010 11
1012 504
1036 529
2950 391
2955 9624
1057 504
1090 107
1059 399
2963 9624
12781 4552
1062 504
1069 61
1083 520
1065 472
1066 126
128951 46365
1076 504
