vocab fequency
energy 15426
one 13399
frac 13140
would 10605
time 10076
light 8734
mass 8565
field 8295
force 7988
two 7926
space 6891
like 6878
quantum 6566
see 6490
also 6380
point 6074
right 5746
answer 5618
way 5612
partial 5518
system 5411
water 5247
different 5167
get 5111
particle 5096
theory 5018
question 4859
vec 4761
state 4756
particles 4657
speed 4641
momentum 4562
first 4545
mu 4485
equation 4459
physics 4425
example 4399
delta 4257
earth 4241
left 4186
velocity 4127
psi 4113
even 4080
much 4036
rangle 4012
case 3964
however 3961
air 3936
temperature 3873
mathrm 3806
think 3792
could 3723
well 3673
matter 3660
since 3656
know 3637
object 3631
gravity 3614
times 3509
say 3501
given 3470
surface 3451
mathbf 3441
number 3437
dont 3432
wave 3412
means 3382
constant 3351
use 3342
heat 3334
make 3315
electron 3307
need 3296
mechanics 3243
text 3210
black 3127
gravitational 3109
charge 3101
work 3072
around 3069
vector 3068
may 3045
distance 3045
potential 3011
zero 3006
small 2992
end 2978
second 2956
change 2945
phi 2944
function 2941
possible 2927
electrons 2920
general 2911
pressure 2909
form 2902
law 2888
sun 2859
many 2841
actually 2783
doesnt 2779
direction 2765
take 2747
non 2728
density 2713
must 2704
states 2687
using 2676
omega 2652
due 2627
classical 2623
moving 2595
really 2592
hat 2579
still 2566
fact 2558
equations 2544
relativity 2544
body 2526
motion 2516
photons 2506
magnetic 2496
electric 2487
current 2478
nu 2460
something 2424
photon 2414
theta 2385
called 2383
problem 2370
physical 2362
order 2361
used 2351
universe 2350
high 2324
another 2321
consider 2314
enough 2305
always 2292
effect 2291
might 2226
model 2213
gamma 2213
int 2212
fields 2208
radiation 2205
pi 2198
find 2191
forces 2182
rho 2168
us 2140
acceleration 2126
want 2105
look 2097
less 2097
large 2093
lambda 2090
cdot 2070
alpha 2065
value 2056
frame 2038
difference 2033
thats 2025
objects 2018
reason 2013
thus 2011
good 2003
real 1987
mean 1980
frequency 1967
hole 1951
sense 1934
long 1934
sqrt 1932
sum 1928
terms 1920
amount 1918
begin 1915
go 1914
part 1910
cant 1899
waves 1895
position 1888
things 1887
without 1884
note 1878
far 1871
defined 1857
sigma 1857
away 1846
principle 1839
higher 1833
symmetry 1826
spin 1822
measure 1817
simple 1817
total 1785
angular 1783
linear 1776
definition 1760
therefore 1755
back 1755
youre 1749
length 1746
phase 1722
let 1720
atoms 1718
electromagnetic 1701
gas 1699
operator 1692
lets 1691
group 1686
spacetime 1686
going 1679
correct 1676
power 1668
move 1667
mathbb 1662
makes 1660
dot 1657
kinetic 1653
three 1652
volume 1652
isnt 1639
free 1635
true 1623
exactly 1619
per 1618
source 1616
every 1615
center 1613
thing 1609
though 1608
special 1595
result 1592
equal 1579
rather 1571
give 1566
langle 1565
unit 1548
single 1543
particular 1534
course 1532
rest 1532
hbar 1531
ball 1522
rm 1513
ground 1512
term 1510
made 1509
orbit 1506
level 1497
line 1493
im 1485
side 1475
reference 1473
systems 1472
units 1472
instead 1466
star 1460
quite 1457
area 1456
low 1445
gives 1445
inside 1444
simply 1444
points 1443
dt 1442
important 1440
scale 1437
along 1434
yes 1429
theres 1424
stars 1422
tensor 1410
hand 1409
start 1401
limit 1401
new 1398
relative 1397
nothing 1390
people 1386
atom 1382
bit 1381
paper 1377
following 1377
set 1376
vacuum 1374
happens 1374
usually 1370
negative 1368
material 1365
depends 1362
nabla 1362
experiment 1356
molecules 1356
understand 1354
known 1353
probability 1352
least 1349
epsilon 1345
path 1340
dimensional 1339
radius 1329
flow 1327
wikipedia 1316
sound 1313
big 1307
lot 1305
information 1302
moon 1302
close 1296
assume 1295
basis 1292
process 1283
fundamental 1279
standard 1278
hamiltonian 1272
mathematical 1266
little 1262
gauge 1259
angle 1254
numbers 1245
probably 1235
