answerID answererID
13 10
29185 18423
181951 103265
4 21
10 29
19 30
21 43
22 37
33 49
46 31
76983 17770
48 45
51 50
49 9
55 45
61 36
1470 382
10293 267
98 10
122 91
2157 725
12257 1756
117 10
1640 3
11305 6484
165 21
166 10
264 140
6010 482
6576 1937
1272 304
2671 156
198 63
239 137
196 63
226 135
217 30
233 3
3435 136
4437 1420
5641 2451
7496 3550
13256 7890
51175 39344
74705 16575
230 3
238 22
3545 1417
249 116
250 140
255 137
258 10
262 47
327 49
129384 103265
1085 137
1701 137
259 10
17383 140
286 17637
3272 1299
3871 1372
10988 6235
342 3
344 57
11153 6365
50738 143
404 80
412 56
39887 12453
365 137
1576 464
414 34
2176 727
9528 1465
20303 981
425 116
2050 192
428 33
3845 787
9242 2422
1160 185
1234 137
432 45
2410 330
3755 503
9321 5132
66790 501
990 222
3600 531
2606 86
9256 2974
1074 45
46341 34927
1059 15
1108 177
1739 540
1107 65
1118 197
12827 7585
13838 8292
1117 36
1193 177
7471 267
9415 5197
1158 19
21427 2633
21608 335
1236 63
1241 137
1243 267
1279 79
1312 81
1294 316
1295 63
1324 201
1459 335
10904 6181
57144 46332
1397 219
1403 156
12579 7394
1346 363
1347 137
1350 365
1362 251
1368 137
1407 158
17614 11044
1427 386
1473 382
4905 2259
1383 316
1388 10
1433 137
5391 237
28157 16575
1505 412
21647 14080
1469 10
2876 927
37021 15713
37022 11209
1541 219
1548 137
1608 10
13292 7554
1602 15
1604 170
1621 15
2940 412
1627 412
1652 201
2994 693
3482 1279
3483 344
1643 267
140486 157717
1700 10
1722 315
1770 401
22751 13112
31807 4229
59060 11986
1716 137
1725 316
1728 267
1729 15
28085 475
1746 10
1747 316
1754 354
1769 401
1762 137
1764 199
1765 475
1772 3
1773 10
4958 2113
14166 6617
14170 8522
14232 8561
14743 2241
14785 7936
16348 7034
18918 10787
27748 4003
30745 20843
35783 1813
146403 131553
1785 354
1786 10
10713 10
60884 440
1811 57
1815 156
1797 15
1798 10
1858 156
1943 75
1944 176
1822 10
1824 137
1842 137
2421 798
1910 113
1912 428
1955 646
48422 267
1965 65
1966 137
1988 10
2378 137
1968 270
1989 660
1973 531
1974 199
1987 10
1998 602
2010 219
2115 139
56837 46018
2008 98
2021 135
4314 1856
2014 15
2201 45
5046 2340
2017 137
130407 126934
2030 219
2035 137
2029 267
2121 594
2033 10
5426 2259
2056 137
124073 128812
2075 267
2076 423
3834 1250
6820 3371
33831 9498
2114 708
8271 307
2162 468
7666 3550
2181 137
2212 219
3663 267
3689 137
11535 297
2215 10
2217 86
2281 482
2301 789
2315 15
2319 10
2334 170
2333 482
2340 693
2380 219
2420 798
2433 121
7268 3604
8793 4767
9223 5077
2440 15
2441 199
2444 10
8719 594
2458 877
7153 3550
2467 10
2491 139
2529 820
2134 267
2495 793
2503 267
2502 267
2523 135
2539 121
2541 10
2570 922
2576 196
2577 196
2580 10
2582 137
3546 1460
2604 267
2632 26
2651 267
2652 3
2656 10
2725 267
2727 10
2746 67
5780 2679
5804 482
2788 3
3280 137
2848 135
3011 136
2849 482
2886 1072
2875 371
2934 136
2908 482
2909 20
2921 3
3542 1455
8902 4843
18198 11416
18863 539
2965 792
3559 1465
2953 482
13064 1465
2970 136
3628 1516
2976 86
3325 482
2988 994
43150 16575
130468 126934
3000 371
34393 24318
3008 137
28155 18442
28231 16575
3264 1144
15993 3902
3421 1204
9934 1465
97214 63889
3239 1205
3242 3
3267 1163
3365 1279
3556 1465
3275 15
3285 1306
3637 1518
11148 6362
11648 1309
11896 6476
14591 1309
17951 1309
77124 67167
3309 1309
3417 137
3336 156
3341 921
3371 482
3372 1163
3397 594
3404 63
3408 10
3500 1405
11576 6052
3523 156
4555 2002
12669 836
32793 4892
3534 1163
3535 137
3538 1448
3539 739
12858 7554
28144 18437
29306 19194
64564 54980
64583 54997
145369 166637
3580 1465
3586 121
3625 1465
3861 912
3720 482
3740 1564
109741 13576
3741 1465
19664 12711
3744 1465
4822 366
3776 156
12671 440
3794 137
3796 1417
3833 1250
3848 137
3884 1576
3885 137
3887 156
3980 219
4978 156
3993 482
7454 3190
4002 219
4111 136
4004 219
4005 137
4047 1683
4056 482
4114 1250
4115 15
4119 1751
4147 706
4188 137
4225 1816
4207 137
4964 2292
4232 15
4233 965
4238 137
4244 482
4264 1274
4265 793
4298 136
4292 1250
4293 482
4360 1884
4371 475
10982 6234
46495 15428
4547 1274
4552 482
4556 156
23017 15073
4572 1465
4584 482
4624 1465
4625 1420
4663 15
4683 2091
4677 2056
4684 10
4744 1465
4750 482
4767 219
4768 2171
24799 16327
4741 1465
4874 2144
4815 15
4817 1465
4819 1978
4836 1274
4845 482
4879 2236
5761 2721
4931 2165
4967 482
4976 2293
4950 86
4957 10
4948 1863
15827 155
4960 2165
14182 8244
4973 1465
4974 2274
4977 2293
5002 2322
5010 267
5027 1465
5065 135
16731 2192
5049 482
5580 137
5051 482
5052 137
5162 2413
5050 482
7669 3919
5086 1274
5087 137
5104 2103
5107 482
5156 10
5157 137
5234 1338
55653 43847
119072 34998
147842 165275
5267 2457
5270 2433
5274 1645
5278 2471
5291 1465
5297 137
5302 2077
35241 2890
5342 792
5343 1951
5383 1951
5385 1465
7742 344
5392 1951
5393 19
6517 2422
5458 1274
5459 156
5567 10
5569 15
5575 938
5629 1465
5630 10
5676 267
5726 482
5769 475
5774 10
5831 1951
5860 1463
5888 981
65459 56143
6077 2502
17560 11084
5958 2433
5963 2274
6035 267
6036 1250
10064 5156
6044 267
6045 1951
6049 2422
6052 981
6056 10
21200 12946
6065 137
6070 2422
6089 482
6090 1951
6181 334
6119 1465
6121 1926
6202 1465
6210 2457
6215 482
6204 137
6209 482
6234 981
6259 170
6269 1465
6270 3001
6303 2144
7440 790
6326 1465
6328 2973
9561 5212
6336 1951
6354 3116
6373 3001
6374 2973
11704 6779
6437 2474
6438 1250
6449 981
6455 1465
6486 2422
6461 482
6470 1250
37583 16575
6504 1465
6505 1250
6530 2973
6539 267
6545 43
6543 1465
6547 1951
6559 1465
6560 2829
69194 39717
6610 137
12286 7176
6678 1465
6679 137
15355 1951
18821 11471
31894 14330
32816 5132
6855 10
6856 1465
11762 6817
12307 6830
9907 5571
10648 4713
28469 18670
148724 172227
6926 981
53946 42146
6963 10
6970 3458
6982 1465
8489 440
25533 15713
13418 7973
13509 5501
7084 10
19110 11257
7100 594
7106 3522
7223 3522
15048 9160
7138 1951
7139 3065
7196 3550
7201 1465
7204 1465
7211 10
7259 137
7292 3613
7486 2199
7445 2422
7446 10
7492 3522
7493 2422
7587 482
7590 137
7601 1465
7607 3522
7604 1465
12022 1204
7645 475
7965 1465
8035 594
7676 86
7677 10
7687 3646
154328 126934
7726 1465
7727 482
7728 156
7732 2422
7733 1465
56045 30767
8954 156
9722 3550
41617 16575
7857 86
7862 1465
7899 3808
7913 2457
7917 1465
7919 3522
8002 137
18426 11666
7998 10
8000 9
8008 19
8180 1465
9177 4293
8224 1465
8225 2603
8239 1465
8245 267
8287 482
60254 23686
8305 4378
13280 1420
8313 2422
16380 10210
8355 2422
8356 1465
19439 9897
33356 23579
8453 3385
8458 3646
8465 482
122757 96277
8463 594
8467 3646
8816 2713
137528 33031
8577 4123
8578 379
13046 307
8698 3646
9684 5390
8697 981
8701 594
8710 1465
8713 440
8761 1465
141323 86591
8859 440
10213 526
11320 6498
11482 6498
8925 1465
8926 981
8970 4888
38728 16606
8989 4901
9004 3646
16024 9955
9086 3646
9087 4974
9136 1465
30103 20813
9166 5024
9190 5050
10084 5693
9231 981
10224 5768
9272 10
9277 156
9290 1465
9293 219
9328 4934
166684 204978
9373 2433
9408 5013
9395 3646
9413 1250
9423 3522
9424 1951
9451 3009
33098 23365
9468 307
9501 4500
9472 10
9473 3522
9481 4934
9500 185
14491 981
9576 26
20228 13120
9552 4332
9554 1274
13894 1465
9551 4934
9843 4188
11169 6374
12654 2113
12656 7240
9623 1465
15933 9865
9625 5013
9631 5343
9745 5439
9792 2897
23075 15134
41469 29785
42009 30680
3301 267
3303 1205
3304 482
9770 4925
9787 3646
21799 12357
9831 482
125076 44325
9878 1465
9889 5470
9906 981
28070 13117
9966 5457
34364 11190
9978 3646
9979 267
9980 10
9990 5636
10024 5390
10027 156
10034 1465
10046 3646
10099 1951
10104 156
10096 170
10101 10
10126 1951
10132 156
10146 3901
10148 4767
130281 14464
181926 234457
10183 5066
10184 475
10228 5626
10231 5066
10246 1951
14821 8981
10383 1951
10402 155
10367 482
10376 993
10449 5661
10834 5066
10477 5946
15649 9638
10708 1951
36745 26034
10791 1465
10796 5066
10936 5194
10947 1951
10951 156
16237 8767
33971 23607
11362 156
11379 6464
11392 6374
11397 267
11401 981
11404 1155
11764 3190
11779 1465
12209 1465
18343 11612
26979 17710
12271 3646
12272 6638
12321 981
12328 475
12346 7197
12348 267
12414 6817
13995 6830
14577 8197
15954 9052
17761 3550
28139 17994
37954 25084
56383 5342
130478 16575
12526 7349
22591 9160
12504 4880
21393 13993
12539 3646
62302 52235
12609 6052
12611 267
12612 267
12751 7521
13564 155
52702 440
12617 7422
43539 4003
28158 18445
31814 22422
43848 32416
52143 40246
12759 267
12784 5661
12767 981
12768 10
12816 9
12821 482
12843 7554
12854 793
12925 7652
12927 440
12964 475
12978 3646
12966 475
16163 10050
16194 8522
45966 16575
13006 3646
13009 156
13215 981
130467 139482
13209 7851
13212 3116
13336 7197
13338 2474
13339 482
13349 6204
13376 156
13409 7992
21496 3303
14554 6830
78530 68660
13522 3646
13523 1465
13526 294
13546 6830
29153 440
14646 8853
14650 475
13853 267
13863 482
13864 8301
14047 440
126265 119408
14106 440
14109 1465
14220 981
14221 1250
14265 305
28738 8041
44276 12442
14250 1417
14261 335
14264 3415
14381 1420
14383 482
14419 3781
14431 475
15186 440
27892 16575
14531 1465
14532 440
31910 13772
38448 27385
14596 7554
138981 124763
14686 267
14728 8927
14700 8710
14704 2132
14767 267
32085 22637
14979 2688
22228 14539
14911 8197
14914 3976
14921 6830
25986 17086
108436 23437
157255 131216
14930 1465
14931 1951
14943 267
14945 10
14951 9070
14953 1465
14960 8197
14982 404
15051 1250
141340 5167
15129 7783
15130 3646
15385 440
15393 9468
16160 10042
16182 10069
15758 7920
16927 10596
15702 981
15703 156
15704 440
15749 8202
15802 3646
15803 440
17120 10731
19318 12401
15898 5013
21912 14313
25583 15713
15950 9160
15960 10
16027 6204
32919 23235
16251 981
44200 16575
16317 10
16347 3
16527 267
16699 1417
16740 10439
16863 9160
16851 9160
16852 10040
16916 10040
54758 42973
56312 44506
155895 184597
17130 10
17372 10923
37651 16575
17153 1465
66812 24617
171497 68043
17197 9160
17202 1522
17211 981
17212 10812
17225 981
23714 15589
17329 10887
17440 8244
20324 13178
21713 14193
26993 17720
87717 80176
17345 981
17592 3812
18105 11471
17604 440
17674 155
17585 440
18104 11471
17746 11392
17767 11229
17762 3550
17772 5661
17780 156
17791 3646
17807 9078
17805 1465
17817 440
17872 11209
17874 1465
32077 11190
18115 6969
18117 1417
18128 174
18137 11153
18159 11489
18255 10686
24311 3151
18173 8004
36225 25635
18238 3646
18323 11595
28198 16575
18246 3646
18247 11153
18270 5342
18272 8197
18399 219
18409 1789
18512 11720
18452 981
34731 24534
167978 207284
18470 1951
18472 9438
18532 10381
112693 113090
18602 981
18845 482
18646 10
32859 7169
18896 1951
18897 3646
18907 9078
18949 1465
19059 12026
19001 1951
19002 3646
25786 16575
19123 37107
75061 65059
19148 11474
19149 8197
19275 981
19291 156
19290 3303
23879 15713
29705 20468
19505 12424
28977 19011
35055 24767
19441 1465
19480 12424
19535 440
32228 22736
19559 1951
27191 17835
160487 193101
19567 11209
22064 14446
23932 3646
23984 15798
26556 13391
19675 981
38690 1659
19678 1951
19683 8197
19714 981
105881 7488
176590 223695
19825 1951
19829 3646
20074 10956
19937 981
20793 13391
106755 39719
19995 64
20465 475
20654 11257
20663 981
20068 1951
20978 13665
20140 3009
20141 1951
20152 981
34709 24519
20290 475
38492 27425
110394 23437
20391 511
27810 18233
58529 23436
20458 12711
30278 20940
20488 3303
20540 156
20505 3646
28036 3394
20638 13391
28245 16575
20838 13575
27792 9556
28164 16265
37924 16575
69964 16575
82820 73528
20682 13452
20693 3303
20714 981
35214 24915
20794 13391
32592 1465
20760 3303
20764 12915
20860 156
61303 51021
25194 16486
25195 1951
25196 15713
21020 9521
21021 13391
21113 482
38277 16575
21146 981
21158 8244
21150 981
21160 11938
21173 3646
21178 9535
21297 1465
21299 981
21318 1522
21355 7379
21373 3646
67689 58715
21451 13956
27913 16575
21461 8197
21477 13956
26615 16265
26699 12427
21544 13958
38152 27163
21567 981
21568 13618
21646 3646
22677 14154
21801 14215
21814 137
21804 1465
21805 981
21944 11343
29912 11190
21973 1250
21977 3303
22149 14280
23941 15713
22224 3303
24434 16116
22283 12155
22299 156
22375 3303
22386 981
22720 13391
67279 58214
23233 7268
23281 13391
28010 18334
22885 1250
22927 14958
23000 13391
23016 482
81017 40036
23211 14818
23212 15241
23358 15494
23608 10680
81075 71168
23587 12711
23654 15206
23584 13063
23585 6052
23625 9052
23626 1522
23633 842
23645 14154
23656 475
24844 6052
23839 15415
23850 981
23940 3646
23942 440
24120 15713
125459 123653
24248 440
24251 13391
24250 13391
24254 267
24255 6052
24276 16022
38326 27285
51441 39596
52256 40344
52263 40344
24544 16191
32602 23023
24413 16102
33168 23417
24438 6052
24442 7012
186473 241763
24532 3303
33514 23691
24529 15713
24538 3646
24565 15975
24579 3646
24618 6052
36401 4003
24707 15575
26004 6237
24757 4003
24759 440
24804 13391
32729 3303
24925 981
24927 15788
25252 9165
24984 1465
25013 2199
25336 16698
41795 30467
25367 6815
32773 23128
25179 6052
25192 16575
25287 4295
63190 10208
25205 16187
25214 16389
25219 3303
25264 16575
25282 15713
120158 96277
25472 475
103226 33280
25482 475
25485 15713
25625 16666
66829 16606
25845 16265
25894 3303
25903 16078
25941 482
26013 15713
45174 33734
26002 475
26003 1951
26108 15713
28090 440
26158 475
28237 16265
26235 3009
26506 16575
26397 981
26398 9369
26417 15
26457 16265
26458 7981
26546 9556
29104 19073
26736 4123
26739 16575
26811 16265
48969 37404
26889 4100
26890 7813
26907 17674
117183 119593
131131 100594
27955 18296
32936 23247
27130 16575
46202 34705
37056 15713
46712 35341
27168 16575
133122 144136
27233 4003
27238 16575
27280 3063
27348 9556
27397 10
27402 4003
27421 482
27449 16488
27488 16265
27492 15713
36768 25778
27582 16265
27584 16575
27703 15713
27704 4123
27693 8197
27699 16963
27747 4003
27750 11343
27777 440
27795 4003
27833 3303
27809 440
48141 7425
27819 16575
27820 17476
27827 3303
28081 440
28082 9556
28083 16575
28115 1063
28465 18379
28097 3646
70021 61541
28102 1951
28261 17099
28223 131610
28224 16023
29546 19168
33405 23607
28315 1951
28601 3303
37687 24120
37738 16575
55292 17286
57603 46784
159860 17808
182183 103265
28351 18570
28377 4003
28454 16265
28455 440
28533 8041
28577 16773
28569 10950
60956 5132
28749 16265
28899 8048
28802 16265
28803 8041
28814 440
28854 1250
28858 9556
28912 18962
28886 16078
28958 18985
28900 12421
28910 440
28895 15713
28906 16575
28928 16078
28929 16265
29077 9779
29078 8041
29100 19068
44743 33242
29195 16265
29198 3303
29257 14080
73435 64331
29579 4003
29851 14562
29441 3303
29883 16963
60275 13501
29419 15788
45250 33816
29474 20313
31942 15068
34809 24590
52770 26392
29606 20400
29613 9160
29603 482
29649 4229
29744 4003
29745 16575
52121 39351
52136 17235
29964 4003
29965 8041
30102 3303
30106 20417
30147 482
30149 16575
30158 4450
55417 29545
160931 168272
30205 11190
139993 15012
30225 16575
74660 17994
30341 20866
54120 42320
124181 128974
30348 16575
30365 11474
30371 16575
30585 19193
30552 28097
30555 267
30733 21343
30748 13391
32212 1353
32218 3009
32289 3303
49802 5908
35700 16575
75932 65937
32700 1353
127947 96277
32905 16575
32909 22950
33144 16681
33153 16575
33279 16575
54884 43090
33325 11209
33333 6830
33733 9677
34466 12677
33707 16575
33720 482
34062 23851
147872 114824
34000 12357
34011 8041
34015 20716
34155 23463
34166 16575
34188 475
34189 24172
34238 15713
34240 16575
34303 11209
34306 3009
34363 23851
34366 24179
34455 981
34646 23562
34526 16575
38247 17808
34685 6052
46955 35563
46523 11251
203636 278634
34688 6052
34715 23562
34758 23463
34760 3009
34788 8661
34806 16575
34970 4003
34972 16575
35094 7815
42391 31026
35371 24933
39478 28310
35344 267
35345 12677
35414 11190
35415 11209
35503 11209
35533 16575
35581 23562
35911 15713
42932 31559
86630 78642
103167 16488
35665 10
35666 21310
35667 11209
35671 16575
36354 14103
142608 145687
35759 23379
35761 12677
35766 16575
35848 16575
42218 30866
44150 32684
65611 27328
36221 25209
36222 25403
36294 4003
36853 26125
148288 12442
36314 11209
36350 15453
36331 23562
36336 16575
37309 25343
37312 5342
37368 15091
67311 58266
74621 64549
37835 11209
58288 47030
37879 16575
37880 11209
37971 23379
37993 27047
83975 75037
126179 20651
38133 475
46159 34719
51031 39209
38298 981
197576 266622
38364 475
38479 27413
38765 16575
38911 16096
38799 27214
38815 16575
39140 5342
39141 23293
39232 267
62651 4003
39504 16575
39506 267
39549 7815
43350 31901
39650 981
47434 30425
40886 29638
41090 29818
40063 5342
40066 16575
114033 96277
157809 187959
201509 273966
42584 31206
42598 16606
43741 13482
41223 4003
134039 92056
40464 3303
123067 127343
47117 23978
179704 229081
188796 248699
40946 23562
45955 12442
60733 50381
40992 24172
51045 12442
41488 30165
66730 46032
41894 12427
68246 59365
42082 30734
42583 30171
140476 95882
42133 4003
42517 482
42629 16575
49425 12442
87808 79960
43994 32551
44006 13651
55800 9544
60589 267
42475 16575
102424 97973
120073 119358
42703 11028
44528 33013
80968 6299
137551 152235
42798 25096
141656 159757
42959 16575
42968 31596
43402 31612
45457 34012
49117 37548
43369 31722
43390 16575
43414 16575
162027 43641
43450 3646
88056 5132
43448 16575
155682 44325
43464 31722
43477 12427
43518 4003
43522 16575
152366 179012
43867 475
43879 16575
43893 11190
43896 3646
43974 32513
49901 38208
44038 440
44039 10913
44180 8661
89795 82877
44295 10
51458 16575
44593 32923
81166 71490
44595 12442
44597 156
44733 30074
53518 41714
59552 49041
45073 981
45074 16575
45102 7288
189144 159621
45604 12442
202285 275724
45797 32513
46174 34732
46144 34694
57356 46536
87392 64158
106468 103911
46215 23562
46250 13063
46321 11251
59687 49188
108385 44446
108684 107718
46988 12442
52670 15309
196941 265386
57549 11343
103956 77812
47460 36039
47479 36050
48408 156
55849 44025
47887 30425
104022 100287
182426 7371
47925 36408
47951 16575
50298 38577
52069 40164
49069 37264
95461 89546
48902 267
48962 33346
48943 26313
55590 43784
49070 12442
86151 78031
50222 37876
154380 181887
50483 5342
52669 40793
50498 4003
50608 12442
51066 7425
51778 39896
51584 30530
104830 16575
51691 16575
51702 5342
51740 475
51741 12442
52183 23562
55121 9993
52186 23379
52187 16265
52351 30530
52876 41028
57372 46559
58287 47546
52837 16575
194550 128445
53066 30530
53067 440
54541 693
54822 11251
53605 1250
53607 16575
54029 5342
54034 15713
54035 16575
67482 58461
54162 16575
54164 14758
54772 28692
54854 37823
56674 43016
65242 25160
55669 38018
55670 16575
55671 30530
55715 38645
56621 981
162256 82426
104153 100477
177760 226206
193858 258950
199496 252540
56839 17994
149718 64465
57915 12442
57995 47208
58922 48358
60020 49534
67513 58505
58204 5342
79196 27231
58408 16575
58409 2073
58646 5342
60041 47968
59406 13063
59407 31626
60827 50481
60829 3646
60895 31626
85438 9677
66949 57829
110918 52652
60924 3646
60930 16575
61125 50793
61214 50927
61544 16437
137503 60252
61651 51294
69822 61296
61819 16437
66937 57820
61959 51737
86042 44470
61992 51781
116773 119023
62225 16575
83586 3191
62393 12442
83687 74656
62989 7425
84656 27162
63173 12442
63174 475
58833 12442
63636 482
63654 440
63751 5342
63898 22897
63761 12442
63958 54034
64364 16575
133801 145429
64695 31626
64714 55167
64805 12442
64864 3646
65558 54918
65578 30530
65580 56284
65587 56301
65926 475
65929 56662
119669 122778
66194 3646
66298 57107
66252 32482
66253 3646
67123 440
67129 12442
67162 17771
67287 58226
67238 44585
67239 12442
68450 59638
68466 59651
68614 23293
68618 59817
69010 53661
69011 11343
69047 53576
69053 475
69081 156
69226 53576
82271 72805
94049 88024
186696 12477
69397 12442
125172 130792
70228 981
135851 101950
72856 475
72858 63596
73012 63813
73022 59438
140442 25737
140446 52379
73176 53661
119324 94802
143914 152342
74813 64756
97229 92094
97377 16575
75383 16575
75436 57926
75514 58149
75555 16575
128055 135484
77311 12442
77321 16575
77424 67339
77426 16575
81339 69253
91431 84686
144816 5132
105508 44325
109469 108846
81774 16575
81775 72228
82314 69037
82322 16575
92165 85650
96297 90698
85301 44325
86746 78894
86938 40036
92208 44506
87196 501
87218 16832
87726 79764
167306 206006
87900 44325
88289 67339
88222 24450
96486 90968
110876 110779
88841 81670
129296 2926
88278 44325
91750 16320
88443 81105
88995 81870
88440 65466
88441 44325
88642 24450
89185 82097
98998 61257
158273 188851
88953 81812
89065 81971
89021 40036
89029 81929
90264 83467
91661 16575
149538 173212
89738 482
89774 41884
115664 16575
188229 247674
90160 981
118872 121599
90375 83603
91462 63833
91657 62445
